rate_id,rate_date,rate_title,rate_value,traveller_type,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_beverage,ground_service,value_for_money,recommended
Bervin Hedman,6th July 2023,"""short-changing passengers""",4,Family Leisure,Premium Economy,Kingston to London,June 2023,5,4,4,3,3,no
Alastair Cockburn,5th July 2023,"""Economy is absolutely awful""",1,Couple Leisure,Economy Class,London Heathrow to Cape Town,June 2023,1,3,1,3,2,no
S Carlsen,5th July 2023,"""Shocking customer service""",1,Couple Leisure,Economy Class,London Heathrow to Ibiza,July 2023,0,0,0,1,1,no
A Diamantopoulos,4th July 2023,"""no representative to help""",3,Business,Business Class,Washington to London,June 2023,3,3,3,1,1,no
Carlos Whilhelm,3rd July 2023,"""Boarding was chaotic""",3,Couple Leisure,Economy Class,London Heathrow to Naples,June 2023,1,4,1,2,2,no
S Warten,2nd July 2023,"""In-line with competitors""",10,Solo Leisure,Economy Class,Berlin to London,July 2023,5,5,3,4,5,yes
Kapil Tyagi,30th June 2023,"""Luggage are still in Glasgow""",1,Family Leisure,Economy Class,Glasgow to London,June 2023,1,1,0,1,1,no
Saeed Alzubaidi,29th June 2023,"""whole experience was terrible""",1,Solo Leisure,Economy Class,Dubai to Keflavik via London,May 2023,1,1,0,1,1,no
Ralph Tuckwell,29th June 2023,"""preferred to fly on easyJet""",2,Couple Leisure,Economy Class,Cairo to London,June 2023,1,1,1,2,1,no
N Beale,27th June 2023,"""stated it is not their fault""",1,Solo Leisure,Economy Class,London to Madrid,May 2023,3,3,3,1,1,no
T Casey,27th June 2023,"""luggage was mis-tagged in Dallas""",1,Family Leisure,Economy Class,London to Cairo,June 2023,1,1,0,1,1,no
Paige Boet,25th June 2023,"""The airline lost my luggage""",1,Solo Leisure,Economy Class,New Orleans to London,June 2023,3,3,3,1,1,no
S Layne,25th June 2023,"""fully refunded by our travel insurance""",1,Couple Leisure,Business Class,London to Amman,March 2023,0,0,0,0,1,no
